"HolderAddress","Balance","PendingBalanceUpdate"
"0x00171a5e3a7a636888e21aba74098d6f3c41a42a","15000","No"
"0x0301e2e7a0f41d724278a4156b91c5a1c395056a","5000","No"
"0x1372fad277a786eb972837c66a8b4011779c7dbc","56000","No"
"0x14ff01bba7e90509ef521342f4fa4939e49aaf16","18000","No"
"0x17beb45dc50f7064e0f88f3f620a976490ec9479","1692000","No"
"0x1ece5100927550f86e494f77cf3e7a600e1b9365","210000","No"
"0x272e487096e7fa2101f0075f102f6c95113c92ef","1345000","No"
"0x2b07352c0143adb8fc1f4f09875b28f8a5b253d2","30000","No"
"0x39ea75f28af4fb2354ee08b5e6b18e31db236787","8000","No"
"0x48cc8de5bf1e8e31969ac6385b47df7c661c4d7b","250000","No"
"0x5288bbfd0787b2430a8b67ec59a7dbb6f26a45ec","16000","No"
"0x5a825bdb7457b5354d8b7930e2d38a9ef6a97f75","5000","No"
"0x860159e84366ab6641717e84db41021bb939a020","1098000","No"
"0x9b232535e6fa5bf7192b25019f54a7760c608a8f","2750000","No"
"0x9c761c60a196256cba924028b49365c305e2ba1f","5000","No"
"0x9e6e1555ec06faac48954ad11c619712d9bd205b","78200000","No"
"0xa40aad71e704a08e1630d78a363308561a3cfdd2","527000","No"
"0xa891240b60a9a7db059e6fc9747f55b853778549","32000","No"
"0xaf34b77b25289a3b8700ef363d0ab568be01456c","27091000","No"
"0xbbdd51295c05154d25a6e65d17a7145a652f8c0f","103530000","No"
"0xd06d51d73d375bdfd47a3edec155dd31cd4c54fc","8780000","No"
"0xd98ba8cc764616be4bfd1cbcb27d6406bc4b01f8","5000","No"
"0xde9be7b0b4547390479b815dc1df8a2dea58a1d1","13000","No"
"0xe302c6ff29071f33bdb1cd676c82e0777dfc30b9","200000","No"
"0xe50838cddbe3916f4f54acbe7515f74b9dd788d9","4119000","No"
